,MachineIdentifier,ProductName,EngineVersion,AppVersion,AvSigVersion,IsBeta,RtpStateBitfield,IsSxsPassiveMode,DefaultBrowsersIdentifier,AVProductStatesIdentifier,AVProductsInstalled,AVProductsEnabled,HasTpm,CountryIdentifier,CityIdentifier,OrganizationIdentifier,GeoNameIdentifier,LocaleEnglishNameIdentifier,Platform,Processor,OsVer,OsBuild,OsSuite,OsPlatformSubRelease,OsBuildLab,SkuEdition,IsProtected,AutoSampleOptIn,PuaMode,SMode,IeVerIdentifier,SmartScreen,Firewall,UacLuaenable,Census_MDC2FormFactor,Census_DeviceFamily,Census_OEMNameIdentifier,Census_OEMModelIdentifier,Census_ProcessorCoreCount,Census_ProcessorManufacturerIdentifier,Census_ProcessorModelIdentifier,Census_ProcessorClass,Census_PrimaryDiskTotalCapacity,Census_PrimaryDiskTypeName,Census_SystemVolumeTotalCapacity,Census_HasOpticalDiskDrive,Census_TotalPhysicalRAM,Census_ChassisTypeName,Census_InternalPrimaryDiagonalDisplaySizeInInches,Census_InternalPrimaryDisplayResolutionHorizontal,Census_InternalPrimaryDisplayResolutionVertical,Census_PowerPlatformRoleName,Census_InternalBatteryType,Census_InternalBatteryNumberOfCharges,Census_OSVersion,Census_OSArchitecture,Census_OSBranch,Census_OSBuildNumber,Census_OSBuildRevision,Census_OSEdition,Census_OSSkuName,Census_OSInstallTypeName,Census_OSInstallLanguageIdentifier,Census_OSUILocaleIdentifier,Census_OSWUAutoUpdateOptionsName,Census_IsPortableOperatingSystem,Census_GenuineStateName,Census_ActivationChannel,Census_IsFlightingInternal,Census_IsFlightsDisabled,Census_FlightRing,Census_ThresholdOptIn,Census_FirmwareManufacturerIdentifier,Census_FirmwareVersionIdentifier,Census_IsSecureBootEnabled,Census_IsWIMBootEnabled,Census_IsVirtualDevice,Census_IsTouchEnabled,Census_IsPenCapable,Census_IsAlwaysOnAlwaysConnectedCapable,Wdft_IsGamer,Wdft_RegionIdentifier,HasDetections
1646720,2f423d9e34e7272dd8245dfab729780b,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1112.0,0,7.0,0,,47463.0,2.0,1.0,1,203,143726.0,18.0,255.0,46,windows10,x64,10.0.0.0,14393,768,rs1,14393.1198.amd64fre.rs1_release_sec.170427-1353,Home,1.0,0,,0.0,103.0,RequireAdmin,1.0,1.0,Notebook,Windows.Desktop,525.0,331276.0,4.0,5.0,2574.0,,953869.0,HDD,381546.0,0,4096.0,Notebook,15.5,1366.0,768.0,Mobile,lion,303.0,10.0.14393.1198,amd64,rs1_release,14393,1198,Core,CORE,Update,39.0,160,FullAuto,0,IS_GENUINE,Retail,0.0,0.0,Retail,0.0,142.0,70298.0,1,0.0,0.0,0,0,0.0,0.0,7.0,1
3195473,5bae12de608e84986d4f8ba7f97fcbd5,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1416.0,0,7.0,0,,53447.0,1.0,1.0,1,77,32085.0,27.0,109.0,88,windows10,x64,10.0.0.0,16299,768,rs3,16299.15.amd64fre.rs3_release.170928-1534,Home,1.0,0,,0.0,117.0,ExistsNotSet,1.0,1.0,AllInOne,Windows.Desktop,2102.0,108592.0,4.0,5.0,2393.0,,953869.0,HDD,458094.0,0,8192.0,AllinOne,23.8,1920.0,1080.0,Desktop,#,4294967295.0,10.0.16299.371,amd64,rs3_release,16299,371,Core,CORE,Upgrade,8.0,31,Notify,0,IS_GENUINE,OEM:DM,0.0,0.0,Retail,0.0,93.0,33080.0,1,0.0,0.0,1,0,0.0,0.0,11.0,1
42137,0139002b7764a60333835f6a0ae39cbe,win8defender,1.1.15200.1,4.18.1807.18075,1.275.1659.0,0,7.0,0,,7945.0,2.0,1.0,1,180,141361.0,27.0,233.0,210,windows10,x64,10.0.0.0,14393,256,rs1,14393.1770.amd64fre.rs1_release.170917-1700,Pro,1.0,0,,0.0,96.0,RequireAdmin,1.0,1.0,Notebook,Windows.Desktop,2206.0,248045.0,2.0,1.0,670.0,,953869.0,HDD,952922.0,1,4096.0,UNKNOWN,15.5,1366.0,768.0,Mobile,lion,0.0,10.0.14393.1770,amd64,rs1_release,14393,1770,Professional,PROFESSIONAL,Update,30.0,128,Notify,0,IS_GENUINE,Retail,,0.0,Retail,0.0,554.0,33108.0,0,0.0,0.0,0,0,0.0,0.0,3.0,0
5279224,978379f220e1cfee10f48ba6cfffadc6,win8defender,1.1.15200.1,4.18.1807.18075,1.275.570.0,0,7.0,0,,53447.0,1.0,1.0,1,171,150529.0,18.0,211.0,182,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1.0,0,,0.0,137.0,,1.0,1.0,Notebook,Windows.Desktop,1443.0,260851.0,4.0,5.0,2538.0,,228936.0,SSD,179002.0,0,4096.0,Laptop,72.3,1360.0,768.0,Mobile,,0.0,10.0.17134.228,amd64,rs4_release,17134,228,Professional,PROFESSIONAL,Reset,29.0,125,FullAuto,0,IS_GENUINE,Retail,,0.0,Retail,,355.0,20900.0,0,,0.0,0,0,0.0,0.0,3.0,0
1899263,3680da6691296d2405dea7ce98138e0c,win8defender,1.1.15200.1,4.18.1807.18075,1.275.249.0,0,7.0,0,,53447.0,1.0,1.0,1,66,54931.0,27.0,89.0,88,windows10,x64,10.0.0.0,14393,768,rs1,14393.2189.amd64fre.rs1_release.180329-1711,Home,1.0,0,,0.0,98.0,Off,1.0,1.0,Notebook,Windows.Desktop,585.0,189519.0,2.0,5.0,2097.0,,29820.0,SSD,28678.0,0,2048.0,Notebook,11.6,1366.0,768.0,Mobile,,0.0,10.0.14393.2189,amd64,rs1_release,14393,2189,Core,CORE,Reset,14.0,49,UNKNOWN,0,IS_GENUINE,OEM:DM,,0.0,Retail,,556.0,63396.0,0,,0.0,0,0,0.0,0.0,5.0,1
7172059,cdc573bcdd516754476f0cedc09e41de,win8defender,1.1.14901.4,4.9.10586.1106,1.269.1145.0,0,7.0,0,,53447.0,1.0,1.0,1,44,,11.0,57.0,218,windows10,x64,10.0.0.0,10586,768,th2,10586.1106.amd64fre.th2_release.170904-1742,Home,1.0,0,,0.0,74.0,ExistsNotSet,1.0,1.0,Convertible,Windows.Desktop,2668.0,171141.0,2.0,5.0,1992.0,,29820.0,SSD,28542.0,0,2048.0,Notebook,11.6,1366.0,768.0,Mobile,liio,16.0,10.0.10586.1106,amd64,th2_release_sec,10586,1106,CoreSingleLanguage,CORE_SINGLELANGUAGE,Other,9.0,34,Notify,0,IS_GENUINE,OEM:DM,,0.0,Retail,0.0,628.0,26076.0,1,0.0,0.0,1,0,0.0,0.0,10.0,0
6045579,ad8790d2b9de1f45166a214bb9c08903,win8defender,1.1.15100.1,4.18.1807.18075,1.273.836.0,0,0.0,1,,3371.0,2.0,1.0,1,166,24325.0,,200.0,230,windows10,x86,10.0.0.0,17134,256,rs4,17134.1.x86fre.rs4_release.180410-1804,Pro,1.0,0,,0.0,137.0,,1.0,1.0,Notebook,Windows.Desktop,2206.0,242115.0,2.0,5.0,1888.0,,152627.0,HDD,151542.0,0,2048.0,Notebook,10.1,1024.0,600.0,Mobile,,0.0,10.0.17134.191,x86,rs4_release,17134,191,Professional,PROFESSIONAL,UUPUpgrade,9.0,34,FullAuto,0,IS_GENUINE,Retail,,0.0,Retail,,500.0,33054.0,0,,0.0,0,0,0.0,0.0,10.0,0
6593155,bd39be5cd21238273f5fcaf6df057e94,mse,1.1.15200.1,4.4.304.0,1.275.511.0,0,,0,,,,,0,211,128324.0,,286.0,237,windows7,x86,6.1.1.0,7601,256,windows7,7601.17727.x86fre.win7sp1_gdr.111118-2330,Invalid,,0,,0.0,364.0,,,1.0,Desktop,Windows.Desktop,4589.0,313586.0,2.0,5.0,3486.0,,476940.0,HDD,476388.0,0,4096.0,Desktop,13.2,1024.0,768.0,Desktop,,,10.0.14393.1593,x86,rs1_release,14393,1593,Professional,PROFESSIONAL,Update,9.0,34,Notify,0,INVALID_LICENSE,Retail,,0.0,Retail,,142.0,11995.0,0,,0.0,0,0,0.0,0.0,10.0,0
6700365,c04ba9cc5543e2424cbc3c0a54bdd7fd,win8defender,1.1.14306.0,4.13.17134.228,1.257.660.0,0,7.0,0,1910.0,53447.0,1.0,1.0,1,19,91239.0,27.0,89.0,88,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1.0,0,,0.0,137.0,Warn,1.0,1.0,Desktop,Windows.Desktop,4909.0,317701.0,8.0,5.0,2827.0,,488386.0,SSD,487819.0,1,16384.0,Desktop,27.0,1920.0,1080.0,Desktop,,4294967295.0,10.0.17134.228,amd64,rs4_release,17134,228,Professional,PROFESSIONAL,Refresh,14.0,49,FullAuto,0,IS_GENUINE,Retail,,0.0,Retail,,142.0,52704.0,0,,0.0,0,0,0.0,1.0,15.0,1
4104660,75c6af2c7e88e7029082d5229d53a600,win8defender,1.1.15000.2,4.9.10586.494,1.271.1065.0,0,7.0,0,,53447.0,1.0,1.0,1,39,86184.0,,98.0,103,windows10,x86,10.0.0.0,10586,768,th2,10586.545.x86fre.th2_release.160802-1857,Home,1.0,0,,0.0,82.0,RequireAdmin,1.0,1.0,LargeTablet,Windows.Desktop,4959.0,318205.0,4.0,5.0,1848.0,,29600.0,SSD,28682.0,0,2048.0,Desktop,10.1,1280.0,800.0,Slate,lion,10.0,10.0.10586.545,x86,th2_release,10586,545,Core,CORE,Update,5.0,26,UNKNOWN,0,IS_GENUINE,OEM:DM,,0.0,Retail,0.0,142.0,12536.0,0,0.0,0.0,1,0,1.0,0.0,15.0,0
7535866,d83585dccebeb43edfad533253bdea58,win8defender,1.1.14901.4,4.16.17656.18052,1.269.1075.0,0,7.0,0,,62773.0,1.0,1.0,1,68,84100.0,,276.0,74,windows10,x64,10.0.0.0,16299,256,rs3,16299.431.amd64fre.rs3_release_svc_escrow.180502-1908,Pro,0.0,0,,0.0,117.0,RequireAdmin,1.0,1.0,Notebook,Windows.Desktop,530.0,327640.0,8.0,5.0,2840.0,,715404.0,HDD,713298.0,0,16384.0,Notebook,15.5,1920.0,1080.0,Mobile,,0.0,10.0.16299.492,amd64,rs3_release_svc_escrow,16299,492,Professional,PROFESSIONAL,Upgrade,8.0,31,Notify,0,IS_GENUINE,Retail,,0.0,Retail,,142.0,67626.0,0,,0.0,0,0,0.0,1.0,12.0,0
2066418,3b4e2187b16a2127df4a1728fcb24e3d,win8defender,1.1.14800.3,4.14.17639.18041,1.267.876.0,0,7.0,0,,53447.0,1.0,1.0,1,171,96401.0,,211.0,182,windows10,x64,10.0.0.0,16299,768,rs3,16299.15.amd64fre.rs3_release.170928-1534,Home,1.0,0,,0.0,117.0,RequireAdmin,1.0,1.0,Desktop,Windows.Desktop,2206.0,149462.0,4.0,5.0,2601.0,,953869.0,HDD,938610.0,0,12288.0,Desktop,21.5,1920.0,1080.0,Desktop,,4294967295.0,10.0.16299.371,amd64,rs3_release,16299,371,CoreSingleLanguage,CORE_SINGLELANGUAGE,Update,29.0,125,FullAuto,0,IS_GENUINE,Retail,,0.0,Retail,0.0,93.0,17603.0,1,0.0,0.0,0,0,0.0,0.0,3.0,1
4434423,7f46dbda332401789846cb54b3250c66,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1034.0,0,7.0,0,,53447.0,1.0,1.0,1,201,106652.0,27.0,267.0,251,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1.0,0,,0.0,137.0,RequireAdmin,1.0,1.0,Desktop,Windows.Desktop,1980.0,227846.0,4.0,5.0,2251.0,,476940.0,HDD,176388.0,0,4096.0,Desktop,18.5,1360.0,768.0,Desktop,,4294967295.0,10.0.17134.165,amd64,rs4_release,17134,165,Professional,PROFESSIONAL,UUPUpgrade,35.0,148,UNKNOWN,0,IS_GENUINE,Retail,,0.0,Retail,,168.0,34322.0,0,,0.0,0,0,0.0,0.0,11.0,0
4835684,8ac824a9f4b5b9302b2eb2e0713755ac,win8defender,1.1.15200.1,4.18.1807.18075,1.275.1458.0,0,7.0,0,,53447.0,1.0,1.0,1,9,20805.0,18.0,240.0,233,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1.0,0,,0.0,137.0,Off,1.0,1.0,Desktop,Windows.Desktop,1980.0,224773.0,8.0,1.0,863.0,,122104.0,SSD,120645.0,0,10240.0,Desktop,23.1,1920.0,1080.0,Desktop,,4294967295.0,10.0.17134.285,amd64,rs4_release,17134,285,Professional,PROFESSIONAL,Update,9.0,34,FullAuto,0,IS_GENUINE,Retail,,0.0,Retail,,168.0,33421.0,0,,0.0,0,0,0.0,1.0,10.0,1
3170945,5af9fb30319599248680c14938d42e3c,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1311.0,0,0.0,0,,53447.0,1.0,1.0,1,11,155216.0,18.0,98.0,103,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1.0,0,,0.0,137.0,Prompt,1.0,1.0,Notebook,Windows.Desktop,1443.0,328509.0,8.0,5.0,2877.0,,244198.0,SSD,120805.0,1,8192.0,Portable,31.5,2560.0,1440.0,Mobile,liio,0.0,10.0.17134.165,amd64,rs4_release,17134,165,Professional,PROFESSIONAL,Upgrade,5.0,26,FullAuto,0,IS_GENUINE,Retail,,0.0,Retail,0.0,355.0,20900.0,0,0.0,0.0,0,0,0.0,0.0,15.0,1
6174702,b13b1900b64b0b9f1974f967ea9dfdda,win8defender,1.1.15100.1,4.9.10586.1106,1.273.1005.0,0,7.0,0,,53447.0,1.0,1.0,1,43,15205.0,18.0,53.0,42,windows10,x64,10.0.0.0,10586,768,th2,10586.1176.amd64fre.th2_release_sec.170913-1848,Home,1.0,0,,0.0,74.0,RequireAdmin,1.0,1.0,Desktop,Windows.Desktop,1443.0,328517.0,2.0,5.0,2071.0,,476940.0,HDD,105683.0,0,4096.0,Desktop,22.0,1680.0,1050.0,Desktop,,4294967295.0,10.0.10586.1176,amd64,th2_release_sec,10586,1176,CoreCountrySpecific,CORE_COUNTRYSPECIFIC,Other,37.0,158,UNKNOWN,0,IS_GENUINE,OEM:DM,,0.0,Retail,,355.0,10787.0,1,,0.0,0,0,0.0,1.0,7.0,0
941424,1b0b65c772819a5fec227181a2c494db,win8defender,1.1.15200.1,4.18.1807.18075,1.275.957.0,0,7.0,0,,53447.0,1.0,1.0,1,93,56900.0,18.0,277.0,75,windows10,x86,10.0.0.0,14393,256,rs1,14393.2189.x86fre.rs1_release.180329-1711,Pro,1.0,0,,0.0,98.0,RequireAdmin,1.0,1.0,Desktop,Windows.Desktop,1980.0,223836.0,2.0,5.0,4324.0,,305244.0,HDD,75245.0,0,3072.0,Desktop,15.6,1280.0,768.0,Desktop,,4294967295.0,10.0.14393.2189,x86,rs1_release,14393,2189,Professional,PROFESSIONAL,Update,8.0,31,Notify,0,IS_GENUINE,Retail,0.0,0.0,Retail,0.0,168.0,33357.0,0,0.0,0.0,0,0,0.0,0.0,8.0,0
1611512,2e3f39a774c2849c4eb5362c0bfe5983,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1622.0,0,7.0,0,,53447.0,1.0,1.0,1,207,152499.0,27.0,277.0,75,windows10,x64,10.0.0.0,16299,768,rs3,16299.431.amd64fre.rs3_release_svc_escrow.180502-1908,Home,1.0,0,,0.0,117.0,RequireAdmin,1.0,1.0,Notebook,Windows.Desktop,525.0,294536.0,8.0,5.0,2883.0,,715404.0,HDD,632095.0,0,8192.0,Notebook,15.5,1920.0,1080.0,Mobile,lion,0.0,10.0.16299.547,amd64,rs3_release_svc_escrow,16299,547,Core,CORE,Upgrade,8.0,31,AutoInstallAndRebootAtMaintenanceTime,0,IS_GENUINE,Retail,0.0,0.0,Retail,0.0,142.0,55641.0,1,0.0,0.0,0,0,0.0,1.0,13.0,1
4441409,7f7a7e7e6859d009b4f3717e77c8bb3f,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1264.0,0,7.0,0,,53447.0,1.0,1.0,1,61,923.0,,277.0,75,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1.0,0,,0.0,137.0,ExistsNotSet,1.0,1.0,Notebook,Windows.Desktop,4142.0,152106.0,4.0,5.0,2507.0,,476940.0,HDD,184320.0,0,4096.0,Laptop,14.0,1366.0,768.0,Mobile,lion,0.0,10.0.17134.165,amd64,rs4_release,17134,165,Professional,PROFESSIONAL,UUPUpgrade,8.0,31,FullAuto,0,INVALID_LICENSE,Retail,0.0,0.0,Retail,0.0,807.0,3700.0,0,0.0,0.0,0,0,0.0,0.0,11.0,1
4280756,7ad8933b0163d1246887c5324ecc285a,win8defender,1.1.15200.1,4.18.1807.18075,1.275.138.0,0,7.0,0,,53447.0,1.0,1.0,1,201,4999.0,27.0,267.0,251,windows10,x64,10.0.0.0,17134,768,rs4,17134.1.amd64fre.rs4_release.180410-1804,Home,1.0,0,,0.0,137.0,ExistsNotSet,1.0,1.0,AllInOne,Windows.Desktop,2102.0,98286.0,4.0,5.0,2660.0,,953869.0,HDD,337932.0,0,4096.0,AllinOne,21.5,1920.0,1080.0,Desktop,,4294967295.0,10.0.17134.228,amd64,rs4_release,17134,228,Core,CORE,UUPUpgrade,35.0,148,FullAuto,0,IS_GENUINE,OEM:NONSLP,,0.0,Retail,,93.0,33076.0,0,,0.0,0,0,0.0,0.0,11.0,1
